psu,lon,lat,str_datetime_sent_hr,power_state
92,69.39582162,37.49128418,11/27/16 20:00,1
55,68.73884439,37.69947193,11/27/16 20:00,1
136,70.62512999,40.120263,11/27/16 20:00,1
101,69.52344847,38.23299811,11/27/16 20:00,1
53,68.7999408,37.8346545,11/27/16 20:00,1
30,69.01548721,38.55209124,11/27/16 20:00,1
112,69.90162882,40.35025138,11/27/16 20:00,1
99,69.8388807,38.32252795,11/27/16 20:00,1
7,68.74557007,38.55727731,11/27/16 20:00,1
142,67.67146515,39.25535144,11/27/16 20:00,0
68,68.5832346,37.63572102,11/27/16 20:00,1
141,67.85106303,39.39133879,11/27/16 20:00,0
50,68.77796122,37.84467432,11/27/16 20:00,1
11,68.76102143,38.51681346,11/27/16 20:00,0
35,69.07583472,38.56390512,11/28/16 20:00,1
113,69.945693,40.432452,11/28/16 20:00,0
140,67.62777045,39.49913741,11/28/16 20:00,0
97,69.75608917,38.35540909,11/28/16 20:00,0
87,69.63650438,37.7953963,11/28/16 20:00,1
17,68.61052693,38.61767572,11/28/16 20:00,1
27,68.32935054,38.62285729,11/28/16 20:00,1
89,69.57080277,37.88867035,11/28/16 20:00,1
25,68.25983787,38.5414872,11/28/16 20:00,1
84,69.75446875,37.87022935,11/28/16 20:00,1
9,68.75332267,38.55576436,11/28/16 20:00,1
26,68.18750132,38.48957339,11/28/16 20:00,1
76,68.1425386,37.26728663,11/28/16 20:00,1
49,71.409352,39.349395,11/28/16 20:00,1
59,68.75694527,37.80499072,11/28/16 20:00,0
5,68.74031481,38.57471938,11/28/16 20:00,1
86,69.76269966,37.88144998,11/28/16 20:00,1
74,69.10959662,37.22181688,11/28/16 20:00,1
58,68.71908336,38.02825677,11/28/16 20:00,1
128,68.6559113,39.71858992,11/28/16 20:00,1
14,68.81596074,38.55906902,11/28/16 20:00,1
82,69.76746055,37.88558084,11/28/16 20:00,1
77,68.14991287,37.2103631,11/28/16 20:00,1
15,68.86685625,38.6767802,11/28/16 20:00,1
83,69.86078544,38.05089098,11/28/16 20:00,0
115,69.67319595,40.25527461,11/28/16 20:00,1
100,69.48918127,38.20394327,11/28/16 20:00,1
81,67.98130548,37.30840119,11/28/16 20:00,1
103,69.59013445,40.2894689,11/28/16 20:00,1
52,68.65960657,37.7954733,11/28/16 20:00,1
75,69.09934775,37.25032806,11/28/16 20:00,1
19,68.52237609,38.5038854,11/28/16 20:00,1
80,68.19332619,37.41367716,11/28/16 20:00,1
18,68.48375532,38.56839889,11/28/16 20:00,1
88,69.55226138,37.7778347,11/28/16 20:00,1
44,70.235062,39.095214,11/28/16 20:00,1
93,69.42917184,37.57537252,11/28/16 20:00,1
96,69.2479133,38.4025367,11/28/16 20:00,1
16,68.54355895,38.53150235,11/28/16 20:00,1
2,68.774906,38.564038,11/28/16 20:00,1
91,69.8403121,37.91703144,11/28/16 20:00,1
73,69.08546113,37.24364286,11/28/16 20:00,1
46,70.505438,38.996127,11/28/16 20:00,0
57,68.69857778,37.9799092,11/28/16 20:00,1
130,68.95339277,39.88734071,11/28/16 20:00,1
70,68.6400463,37.459768,11/28/16 20:00,1
90,70.04056817,37.84226291,11/28/16 20:00,1
118,69.31297571,40.42845521,11/28/16 20:00,1
56,68.74439172,37.81553283,11/28/16 20:00,1
150,72.3365791,37.6991956,11/28/16 20:00,1
23,68.79487933,38.43434449,11/28/16 20:00,1
42,69.881006,38.805994,11/28/16 20:00,1
102,69.52373659,38.23247809,11/28/16 20:00,1
72,68.4508572,37.23293107,11/28/16 20:00,1
111,69.65226746,40.28255265,11/28/16 20:00,0
51,68.77390882,37.84206577,11/28/16 20:00,0
69,68.6868894,37.35688317,11/28/16 20:00,1
71,68.6462805,37.40372895,11/28/16 20:00,1
31,68.95720896,38.60003017,11/28/16 20:00,1
64,68.87067983,38.24035306,11/28/16 20:00,1
4,68.72877443,38.57967732,11/28/16 20:00,1
67,68.6569064,37.58924053,11/28/16 20:00,1
43,69.910987,38.940772,11/28/16 20:00,1
92,69.39582162,37.49128418,11/28/16 20:00,1
55,68.73884439,37.69947193,11/28/16 20:00,1
20,68.52939437,38.55873364,11/28/16 20:00,0
136,70.62512999,40.120263,11/28/16 20:00,0
101,69.52344847,38.23299811,11/28/16 20:00,1
53,68.7999408,37.8346545,11/28/16 20:00,1
30,69.01548721,38.55209124,11/28/16 20:00,1
112,69.90162882,40.35025138,11/28/16 20:00,0
99,69.8388807,38.32252795,11/28/16 20:00,1
7,68.74557007,38.55727731,11/28/16 20:00,1
142,67.67146515,39.25535144,11/28/16 20:00,1
68,68.5832346,37.63572102,11/28/16 20:00,1
141,67.85106303,39.39133879,11/28/16 20:00,0
50,68.77796122,37.84467432,11/28/16 20:00,1
11,68.76102143,38.51681346,11/28/16 20:00,1
35,69.07583472,38.56390512,11/28/16 22:00,0
113,69.945693,40.432452,11/28/16 22:00,0
140,67.62777045,39.49913741,11/28/16 22:00,0
97,69.75608917,38.35540909,11/28/16 22:00,0
47,70.09071,38.995396,11/28/16 22:00,0
87,69.63650438,37.7953963,11/28/16 22:00,0
17,68.61052693,38.61767572,11/28/16 22:00,0
27,68.32935054,38.62285729,11/28/16 22:00,0
89,69.57080277,37.88867035,11/28/16 22:00,1
25,68.25983787,38.5414872,11/28/16 22:00,1
84,69.75446875,37.87022935,11/28/16 22:00,1
9,68.75332267,38.55576436,11/28/16 22:00,1
26,68.18750132,38.48957339,11/28/16 22:00,0
76,68.1425386,37.26728663,11/28/16 22:00,0
49,71.409352,39.349395,11/28/16 22:00,0
59,68.75694527,37.80499072,11/28/16 22:00,0
5,68.74031481,38.57471938,11/28/16 22:00,1
86,69.76269966,37.88144998,11/28/16 22:00,1
74,69.10959662,37.22181688,11/28/16 22:00,0
58,68.71908336,38.02825677,11/28/16 22:00,0
14,68.81596074,38.55906902,11/28/16 22:00,1
82,69.76746055,37.88558084,11/28/16 22:00,1
77,68.14991287,37.2103631,11/28/16 22:00,0
15,68.86685625,38.6767802,11/28/16 22:00,1
83,69.86078544,38.05089098,11/28/16 22:00,0
115,69.67319595,40.25527461,11/28/16 22:00,0
100,69.48918127,38.20394327,11/28/16 22:00,1
81,67.98130548,37.30840119,11/28/16 22:00,1
103,69.59013445,40.2894689,11/28/16 22:00,1
52,68.65960657,37.7954733,11/28/16 22:00,0
75,69.09934775,37.25032806,11/28/16 22:00,0
19,68.52237609,38.5038854,11/28/16 22:00,0
80,68.19332619,37.41367716,11/28/16 22:00,0
18,68.48375532,38.56839889,11/28/16 22:00,0
88,69.55226138,37.7778347,11/28/16 22:00,0
93,69.42917184,37.57537252,11/28/16 22:00,0
96,69.2479133,38.4025367,11/28/16 22:00,1
2,68.774906,38.564038,11/28/16 22:00,1
91,69.8403121,37.91703144,11/28/16 22:00,1
73,69.08546113,37.24364286,11/28/16 22:00,0
46,70.505438,38.996127,11/28/16 22:00,0
57,68.69857778,37.9799092,11/28/16 22:00,0
70,68.6400463,37.459768,11/28/16 22:00,0
90,70.04056817,37.84226291,11/28/16 22:00,0
118,69.31297571,40.42845521,11/28/16 22:00,0
56,68.74439172,37.81553283,11/28/16 22:00,0
150,72.3365791,37.6991956,11/28/16 22:00,1
23,68.79487933,38.43434449,11/28/16 22:00,0
42,69.881006,38.805994,11/28/16 22:00,0
102,69.52373659,38.23247809,11/28/16 22:00,1
72,68.4508572,37.23293107,11/28/16 22:00,0
111,69.65226746,40.28255265,11/28/16 22:00,0
51,68.77390882,37.84206577,11/28/16 22:00,1
69,68.6868894,37.35688317,11/28/16 22:00,0
71,68.6462805,37.40372895,11/28/16 22:00,0
31,68.95720896,38.60003017,11/28/16 22:00,0
64,68.87067983,38.24035306,11/28/16 22:00,1
4,68.72877443,38.57967732,11/28/16 22:00,1
43,69.910987,38.940772,11/28/16 22:00,1
92,69.39582162,37.49128418,11/28/16 22:00,0
39,69.31359849,38.52606983,11/28/16 22:00,0
55,68.73884439,37.69947193,11/28/16 22:00,0
20,68.52939437,38.55873364,11/28/16 22:00,0
136,70.62512999,40.120263,11/28/16 22:00,0
101,69.52344847,38.23299811,11/28/16 22:00,1
53,68.7999408,37.8346545,11/28/16 22:00,1
30,69.01548721,38.55209124,11/28/16 22:00,1
79,68.47415879,37.57594376,11/28/16 22:00,0
112,69.90162882,40.35025138,11/28/16 22:00,0
99,69.8388807,38.32252795,11/28/16 22:00,0
7,68.74557007,38.55727731,11/28/16 22:00,1
142,67.67146515,39.25535144,11/28/16 22:00,1
68,68.5832346,37.63572102,11/28/16 22:00,0
141,67.85106303,39.39133879,11/28/16 22:00,0
50,68.77796122,37.84467432,11/28/16 22:00,1
11,68.76102143,38.51681346,11/28/16 22:00,1
35,69.07583472,38.56390512,11/29/16 20:00,0
113,69.945693,40.432452,11/29/16 20:00,0
140,67.62777045,39.49913741,11/29/16 20:00,0
97,69.75608917,38.35540909,11/29/16 20:00,0
47,70.09071,38.995396,11/29/16 20:00,0
87,69.63650438,37.7953963,11/29/16 20:00,0
17,68.61052693,38.61767572,11/29/16 20:00,0
27,68.32935054,38.62285729,11/29/16 20:00,0
89,69.57080277,37.88867035,11/29/16 20:00,0
84,69.75446875,37.87022935,11/29/16 20:00,1
9,68.75332267,38.55576436,11/29/16 20:00,1
26,68.18750132,38.48957339,11/29/16 20:00,0
76,68.1425386,37.26728663,11/29/16 20:00,0
49,71.409352,39.349395,11/29/16 20:00,0
5,68.74031481,38.57471938,11/29/16 20:00,1
144,67.7189012,39.48637049,11/29/16 20:00,0
86,69.76269966,37.88144998,11/29/16 20:00,1
58,68.71908336,38.02825677,11/29/16 20:00,0
128,68.6559113,39.71858992,11/29/16 20:00,1
14,68.81596074,38.55906902,11/29/16 20:00,1
82,69.76746055,37.88558084,11/29/16 20:00,1
77,68.14991287,37.2103631,11/29/16 20:00,0
15,68.86685625,38.6767802,11/29/16 20:00,0
83,69.86078544,38.05089098,11/29/16 20:00,0
115,69.67319595,40.25527461,11/29/16 20:00,0
81,67.98130548,37.30840119,11/29/16 20:00,1
40,69.23020602,38.53039006,11/29/16 20:00,0
103,69.59013445,40.2894689,11/29/16 20:00,1
52,68.65960657,37.7954733,11/29/16 20:00,1
75,69.09934775,37.25032806,11/29/16 20:00,0
19,68.52237609,38.5038854,11/29/16 20:00,0
18,68.48375532,38.56839889,11/29/16 20:00,0
88,69.55226138,37.7778347,11/29/16 20:00,1
44,70.235062,39.095214,11/29/16 20:00,0
93,69.42917184,37.57537252,11/29/16 20:00,0
96,69.2479133,38.4025367,11/29/16 20:00,1
16,68.54355895,38.53150235,11/29/16 20:00,1
2,68.774906,38.564038,11/29/16 20:00,1
91,69.8403121,37.91703144,11/29/16 20:00,0
73,69.08546113,37.24364286,11/29/16 20:00,0
46,70.505438,38.996127,11/29/16 20:00,0
57,68.69857778,37.9799092,11/29/16 20:00,0
70,68.6400463,37.459768,11/29/16 20:00,0
90,70.04056817,37.84226291,11/29/16 20:00,0
118,69.31297571,40.42845521,11/29/16 20:00,0
56,68.74439172,37.81553283,11/29/16 20:00,0
150,72.3365791,37.6991956,11/29/16 20:00,1
23,68.79487933,38.43434449,11/29/16 20:00,0
42,69.881006,38.805994,11/29/16 20:00,0
102,69.52373659,38.23247809,11/29/16 20:00,1
72,68.4508572,37.23293107,11/29/16 20:00,0
111,69.65226746,40.28255265,11/29/16 20:00,0
51,68.77390882,37.84206577,11/29/16 20:00,1
69,68.6868894,37.35688317,11/29/16 20:00,0
71,68.6462805,37.40372895,11/29/16 20:00,0
31,68.95720896,38.60003017,11/29/16 20:00,0
21,38.53356644,68.86214562,11/29/16 20:00,0
64,68.87067983,38.24035306,11/29/16 20:00,0
4,68.72877443,38.57967732,11/29/16 20:00,1
67,68.6569064,37.58924053,11/29/16 20:00,0
43,69.910987,38.940772,11/29/16 20:00,0
92,69.39582162,37.49128418,11/29/16 20:00,1
39,69.31359849,38.52606983,11/29/16 20:00,0
55,68.73884439,37.69947193,11/29/16 20:00,1
20,68.52939437,38.55873364,11/29/16 20:00,0
136,70.62512999,40.120263,11/29/16 20:00,1
101,69.52344847,38.23299811,11/29/16 20:00,0
53,68.7999408,37.8346545,11/29/16 20:00,0
79,68.47415879,37.57594376,11/29/16 20:00,1
112,69.90162882,40.35025138,11/29/16 20:00,0
99,69.8388807,38.32252795,11/29/16 20:00,0
7,68.74557007,38.55727731,11/29/16 20:00,1
142,67.67146515,39.25535144,11/29/16 20:00,1
68,68.5832346,37.63572102,11/29/16 20:00,0
141,67.85106303,39.39133879,11/29/16 20:00,0
50,68.77796122,37.84467432,11/29/16 20:00,1
11,68.76102143,38.51681346,11/29/16 20:00,1
35,69.07583472,38.56390512,11/29/16 21:00,0
113,69.945693,40.432452,11/29/16 21:00,0
140,67.62777045,39.49913741,11/29/16 21:00,0
97,69.75608917,38.35540909,11/29/16 21:00,0
17,68.61052693,38.61767572,11/29/16 21:00,0
27,68.32935054,38.62285729,11/29/16 21:00,0
84,69.75446875,37.87022935,11/29/16 21:00,1
9,68.75332267,38.55576436,11/29/16 21:00,1
26,68.18750132,38.48957339,11/29/16 21:00,0
76,68.1425386,37.26728663,11/29/16 21:00,0
5,68.74031481,38.57471938,11/29/16 21:00,1
144,67.7189012,39.48637049,11/29/16 21:00,0
86,69.76269966,37.88144998,11/29/16 21:00,1
58,68.71908336,38.02825677,11/29/16 21:00,0
128,68.6559113,39.71858992,11/29/16 21:00,1
14,68.81596074,38.55906902,11/29/16 21:00,1
82,69.76746055,37.88558084,11/29/16 21:00,1
15,68.86685625,38.6767802,11/29/16 21:00,0
83,69.86078544,38.05089098,11/29/16 21:00,0
81,67.98130548,37.30840119,11/29/16 21:00,1
40,69.23020602,38.53039006,11/29/16 21:00,0
103,69.59013445,40.2894689,11/29/16 21:00,1
52,68.65960657,37.7954733,11/29/16 21:00,1
75,69.09934775,37.25032806,11/29/16 21:00,0
19,68.52237609,38.5038854,11/29/16 21:00,0
18,68.48375532,38.56839889,11/29/16 21:00,0
88,69.55226138,37.7778347,11/29/16 21:00,1
93,69.42917184,37.57537252,11/29/16 21:00,0
96,69.2479133,38.4025367,11/29/16 21:00,1
16,68.54355895,38.53150235,11/29/16 21:00,1
2,68.774906,38.564038,11/29/16 21:00,1
91,69.8403121,37.91703144,11/29/16 21:00,0
73,69.08546113,37.24364286,11/29/16 21:00,0
46,70.505438,38.996127,11/29/16 21:00,0
70,68.6400463,37.459768,11/29/16 21:00,0
90,70.04056817,37.84226291,11/29/16 21:00,0
118,69.31297571,40.42845521,11/29/16 21:00,0
56,68.74439172,37.81553283,11/29/16 21:00,0
150,72.3365791,37.6991956,11/29/16 21:00,1
42,69.881006,38.805994,11/29/16 21:00,0
102,69.52373659,38.23247809,11/29/16 21:00,1
72,68.4508572,37.23293107,11/29/16 21:00,0
111,69.65226746,40.28255265,11/29/16 21:00,0
51,68.77390882,37.84206577,11/29/16 21:00,1
69,68.6868894,37.35688317,11/29/16 21:00,0
71,68.6462805,37.40372895,11/29/16 21:00,0
31,68.95720896,38.60003017,11/29/16 21:00,0
21,38.53356644,68.86214562,11/29/16 21:00,0
64,68.87067983,38.24035306,11/29/16 21:00,0
4,68.72877443,38.57967732,11/29/16 21:00,1
67,68.6569064,37.58924053,11/29/16 21:00,0
43,69.910987,38.940772,11/29/16 21:00,0
92,69.39582162,37.49128418,11/29/16 21:00,1
39,69.31359849,38.52606983,11/29/16 21:00,0
55,68.73884439,37.69947193,11/29/16 21:00,1
20,68.52939437,38.55873364,11/29/16 21:00,0
136,70.62512999,40.120263,11/29/16 21:00,1
101,69.52344847,38.23299811,11/29/16 21:00,0
53,68.7999408,37.8346545,11/29/16 21:00,0
79,68.47415879,37.57594376,11/29/16 21:00,1
112,69.90162882,40.35025138,11/29/16 21:00,0
99,69.8388807,38.32252795,11/29/16 21:00,0
7,68.74557007,38.55727731,11/29/16 21:00,1
142,67.67146515,39.25535144,11/29/16 21:00,1
50,68.77796122,37.84467432,11/29/16 21:00,1
11,68.76102143,38.51681346,11/29/16 21:00,1
35,69.07583472,38.56390512,12/1/16 21:00,0
113,69.945693,40.432452,12/1/16 21:00,0
140,67.62777045,39.49913741,12/1/16 21:00,1
97,69.75608917,38.35540909,12/1/16 21:00,0
47,70.09071,38.995396,12/1/16 21:00,0
87,69.63650438,37.7953963,12/1/16 21:00,0
17,68.61052693,38.61767572,12/1/16 21:00,0
27,68.32935054,38.62285729,12/1/16 21:00,0
89,69.57080277,37.88867035,12/1/16 21:00,0
25,68.25983787,38.5414872,12/1/16 21:00,1
84,69.75446875,37.87022935,12/1/16 21:00,1
9,68.75332267,38.55576436,12/1/16 21:00,1
26,68.18750132,38.48957339,12/1/16 21:00,0
76,68.1425386,37.26728663,12/1/16 21:00,0
49,71.409352,39.349395,12/1/16 21:00,0
59,68.75694527,37.80499072,12/1/16 21:00,0
144,67.7189012,39.48637049,12/1/16 21:00,1
86,69.76269966,37.88144998,12/1/16 21:00,1
74,69.10959662,37.22181688,12/1/16 21:00,0
41,69.60020189,38.69467064,12/1/16 21:00,0
58,68.71908336,38.02825677,12/1/16 21:00,0
128,68.6559113,39.71858992,12/1/16 21:00,1
14,68.81596074,38.55906902,12/1/16 21:00,1
60,68.85812916,37.78894028,12/1/16 21:00,0
65,69.02856188,38.20481524,12/1/16 21:00,1
82,69.76746055,37.88558084,12/1/16 21:00,1
77,68.14991287,37.2103631,12/1/16 21:00,0
15,68.86685625,38.6767802,12/1/16 21:00,1
83,69.86078544,38.05089098,12/1/16 21:00,0
100,69.48918127,38.20394327,12/1/16 21:00,0
81,67.98130548,37.30840119,12/1/16 21:00,1
40,69.23020602,38.53039006,12/1/16 21:00,0
103,69.59013445,40.2894689,12/1/16 21:00,1
52,68.65960657,37.7954733,12/1/16 21:00,0
75,69.09934775,37.25032806,12/1/16 21:00,0
19,68.52237609,38.5038854,12/1/16 21:00,0
80,68.19332619,37.41367716,12/1/16 21:00,0
18,68.48375532,38.56839889,12/1/16 21:00,1
88,69.55226138,37.7778347,12/1/16 21:00,0
44,70.235062,39.095214,12/1/16 21:00,0
93,69.42917184,37.57537252,12/1/16 21:00,1
96,69.2479133,38.4025367,12/1/16 21:00,1
16,68.54355895,38.53150235,12/1/16 21:00,1
2,68.774906,38.564038,12/1/16 21:00,1
91,69.8403121,37.91703144,12/1/16 21:00,1
73,69.08546113,37.24364286,12/1/16 21:00,0
46,70.505438,38.996127,12/1/16 21:00,0
57,68.69857778,37.9799092,12/1/16 21:00,0
130,68.95339277,39.88734071,12/1/16 21:00,0
70,68.6400463,37.459768,12/1/16 21:00,0
90,70.04056817,37.84226291,12/1/16 21:00,0
118,69.31297571,40.42845521,12/1/16 21:00,0
56,68.74439172,37.81553283,12/1/16 21:00,0
150,72.3365791,37.6991956,12/1/16 21:00,1
23,68.79487933,38.43434449,12/1/16 21:00,0
42,69.881006,38.805994,12/1/16 21:00,0
102,69.52373659,38.23247809,12/1/16 21:00,1
72,68.4508572,37.23293107,12/1/16 21:00,0
111,69.65226746,40.28255265,12/1/16 21:00,0
51,68.77390882,37.84206577,12/1/16 21:00,1
69,68.6868894,37.35688317,12/1/16 21:00,0
71,68.6462805,37.40372895,12/1/16 21:00,0
31,68.95720896,38.60003017,12/1/16 21:00,0
21,38.53356644,68.86214562,12/1/16 21:00,1
64,68.87067983,38.24035306,12/1/16 21:00,1
4,68.72877443,38.57967732,12/1/16 21:00,0
43,69.910987,38.940772,12/1/16 21:00,0
92,69.39582162,37.49128418,12/1/16 21:00,0
39,69.31359849,38.52606983,12/1/16 21:00,0
55,68.73884439,37.69947193,12/1/16 21:00,0
20,68.52939437,38.55873364,12/1/16 21:00,0
136,70.62512999,40.120263,12/1/16 21:00,0
101,69.52344847,38.23299811,12/1/16 21:00,0
53,68.7999408,37.8346545,12/1/16 21:00,1
30,69.01548721,38.55209124,12/1/16 21:00,0
79,68.47415879,37.57594376,12/1/16 21:00,0
112,69.90162882,40.35025138,12/1/16 21:00,1
99,69.8388807,38.32252795,12/1/16 21:00,0
142,67.67146515,39.25535144,12/1/16 21:00,0
68,68.5832346,37.63572102,12/1/16 21:00,0
141,67.85106303,39.39133879,12/1/16 21:00,0
50,68.77796122,37.84467432,12/1/16 21:00,1
11,68.76102143,38.51681346,12/1/16 21:00,1
35,69.07583472,38.56390512,12/2/16 20:00,1
113,69.945693,40.432452,12/2/16 20:00,0
140,67.62777045,39.49913741,12/2/16 20:00,1
97,69.75608917,38.35540909,12/2/16 20:00,1
47,70.09071,38.995396,12/2/16 20:00,1
87,69.63650438,37.7953963,12/2/16 20:00,1
17,68.61052693,38.61767572,12/2/16 20:00,1
27,68.32935054,38.62285729,12/2/16 20:00,1
89,69.57080277,37.88867035,12/2/16 20:00,0
25,68.25983787,38.5414872,12/2/16 20:00,1
84,69.75446875,37.87022935,12/2/16 20:00,1
9,68.75332267,38.55576436,12/2/16 20:00,1
26,68.18750132,38.48957339,12/2/16 20:00,1
76,68.1425386,37.26728663,12/2/16 20:00,1
49,71.409352,39.349395,12/2/16 20:00,1
59,68.75694527,37.80499072,12/2/16 20:00,0
114,69.74909834,40.21390409,12/2/16 20:00,1
5,68.74031481,38.57471938,12/2/16 20:00,1
144,67.7189012,39.48637049,12/2/16 20:00,0
86,69.76269966,37.88144998,12/2/16 20:00,1
74,69.10959662,37.22181688,12/2/16 20:00,1
41,69.60020189,38.69467064,12/2/16 20:00,1
58,68.71908336,38.02825677,12/2/16 20:00,1
128,68.6559113,39.71858992,12/2/16 20:00,1
14,68.81596074,38.55906902,12/2/16 20:00,1
60,68.85812916,37.78894028,12/2/16 20:00,1
65,69.02856188,38.20481524,12/2/16 20:00,1
82,69.76746055,37.88558084,12/2/16 20:00,1
77,68.14991287,37.2103631,12/2/16 20:00,1
15,68.86685625,38.6767802,12/2/16 20:00,1
83,69.86078544,38.05089098,12/2/16 20:00,0
100,69.48918127,38.20394327,12/2/16 20:00,1
81,67.98130548,37.30840119,12/2/16 20:00,1
40,69.23020602,38.53039006,12/2/16 20:00,1
52,68.65960657,37.7954733,12/2/16 20:00,1
75,69.09934775,37.25032806,12/2/16 20:00,1
61,68.80761501,38.07205583,12/2/16 20:00,1
19,68.52237609,38.5038854,12/2/16 20:00,1
80,68.19332619,37.41367716,12/2/16 20:00,1
18,68.48375532,38.56839889,12/2/16 20:00,1
88,69.55226138,37.7778347,12/2/16 20:00,1
44,70.235062,39.095214,12/2/16 20:00,1
96,69.2479133,38.4025367,12/2/16 20:00,1
16,68.54355895,38.53150235,12/2/16 20:00,1
2,68.774906,38.564038,12/2/16 20:00,1
91,69.8403121,37.91703144,12/2/16 20:00,1
73,69.08546113,37.24364286,12/2/16 20:00,1
46,70.505438,38.996127,12/2/16 20:00,0
57,68.69857778,37.9799092,12/2/16 20:00,1
70,68.6400463,37.459768,12/2/16 20:00,1
118,69.31297571,40.42845521,12/2/16 20:00,1
56,68.74439172,37.81553283,12/2/16 20:00,1
150,72.3365791,37.6991956,12/2/16 20:00,0
23,68.79487933,38.43434449,12/2/16 20:00,1
42,69.881006,38.805994,12/2/16 20:00,1
102,69.52373659,38.23247809,12/2/16 20:00,1
72,68.4508572,37.23293107,12/2/16 20:00,1
51,68.77390882,37.84206577,12/2/16 20:00,1
69,68.6868894,37.35688317,12/2/16 20:00,1
71,68.6462805,37.40372895,12/2/16 20:00,1
31,68.95720896,38.60003017,12/2/16 20:00,1
21,38.53356644,68.86214562,12/2/16 20:00,1
64,68.87067983,38.24035306,12/2/16 20:00,1
4,68.72877443,38.57967732,12/2/16 20:00,1
67,68.6569064,37.58924053,12/2/16 20:00,1
43,69.910987,38.940772,12/2/16 20:00,0
92,69.39582162,37.49128418,12/2/16 20:00,1
39,69.31359849,38.52606983,12/2/16 20:00,1
55,68.73884439,37.69947193,12/2/16 20:00,1
20,68.52939437,38.55873364,12/2/16 20:00,1
136,70.62512999,40.120263,12/2/16 20:00,1
101,69.52344847,38.23299811,12/2/16 20:00,1
53,68.7999408,37.8346545,12/2/16 20:00,1
30,69.01548721,38.55209124,12/2/16 20:00,1
79,68.47415879,37.57594376,12/2/16 20:00,1
112,69.90162882,40.35025138,12/2/16 20:00,1
99,69.8388807,38.32252795,12/2/16 20:00,1
7,68.74557007,38.55727731,12/2/16 20:00,1
142,67.67146515,39.25535144,12/2/16 20:00,1
68,68.5832346,37.63572102,12/2/16 20:00,1
141,67.85106303,39.39133879,12/2/16 20:00,0
50,68.77796122,37.84467432,12/2/16 20:00,1
11,68.76102143,38.51681346,12/2/16 20:00,0
